Publication Day,Publication Month,Publication Year,Authors,Title,Source,Abstract
31,5,2017,"R P Oates, David Klein, Glenn Longley, Pamela Hamlett","Pharmaceutical And Endocrine Disruptor Compounds in Surface and Wastewater in San Marcos, TX.",Water environment research : a research publication of the Water Environment Federation,"Water Resource Recovery Facilities (WRRFs) and hospitals are major point sources of pharmaceuticals and endocrine disrupting compounds (EDCs) in aquatic environments. This study investigated the removal efficiencies of 23 known or suspected EDCs through the San Marcos WRRF to determine which treatment process was the most effective at removal. Results from samples collected at the hospital indicate that the hospital discharge is contributing to the concentration of these compounds in the San Marcos wastewater collection system (0.05-140 µg/L concentrations). The most frequently detected compounds in the WRRF influent included acetaminophen, nonylphenol, caffeine, benzophenone, N,N-diethyl-m-toluamide (DEET), bisphenol A (BPA), and triclosan. Comparison of influent and effluent concentrations showed that the San Marcos WRRF is effectively removing (>92%) these compounds, with the exception of carbamazepine and tris(2-chloroethyl) phosphate (TCEP). These preliminary results will be used to guide future improvements within the WRRF."
1,6,2017,"Wannisa Sukjee, Chompoonuch Tancharoen, Pa-Thai Yenchitsomanus, M Paul Gleeson, Chak Sangma",Small-Molecule Dengue Virus Co-imprinting and Its Application as an Electrochemical Sensor.,ChemistryOpen,"Polymers can be synthesized to recognize small molecules. This is achieved by introducing the target molecule during monomer self-assembly, where they can be incorporated during cross-linking polymerization. Following additional pre-processing, the material obtained can then be applied as a sensing layer for these molecules in many applications. The sensitivity of the polymers depends on the ""active sites"" imprinted on the surface. Increasing the number of active sites on the polymers surface can be achieved by using nanoparticles as a platform to support and concentrate the molecules for imprinting. In this work, we report the first use of dengue virus as a supporting nanoparticle to make for a more effective polymer composite sensor for the detection of bisphenol A (BPA), which is an environmental contaminant. The dengue virus has a nanoparticle size of around 100 nm and its surface provides regions where lipids and hydrophobic compounds can bind, making it an ideal support. The mixing of BPA with dengue prior to monomer self-assembly led to imprinted polymer surfaces with much higher density BPA binding sites and a limit of detection of 0.1 pm. We demonstrate that a BPA-dengue co-imprinting polymer composite sensor shows a very high sensitivity for BPA, but with lower production costs and technical requirements than other comparable methods."
1,6,2017,"Meghan R Bernier, Laura N Vandenberg",Handling of thermal paper: Implications for dermal exposure to bisphenol A and its alternatives.,PloS one,"Bisphenol A (BPA) is an endocrine disrupting chemical used in a wide range of consumer products including photoactive dyes used in thermal paper. Recent studies have shown that dermal absorption of BPA can occur when handling these papers. Yet, regulatory agencies have largely dismissed thermal paper as a major source of BPA exposure. Exposure estimates provided by agencies such as the European Food Safety Authority (EFSA) are based on assumptions about how humans interact with this material, stating that 'typical' exposures for adults involve only one handling per day for short periods of time (<1 minute), with limited exposure surfaces (three fingertips). The objective of this study was to determine how individuals handle thermal paper in one common setting: a cafeteria providing short-order meals. We observed thermal paper handling in a college-aged population (n = 698 subjects) at the University of Massachusetts' dining facility. We find that in this setting, individuals handle receipts for an average of 11.5 min, that >30% of individuals hold thermal paper with more than three fingertips, and >60% allow the paper to touch their palm. Only 11% of the participants we observed were consistent with the EFSA model for time of contact and dermal surface area. Mathematical modeling based on handling times we measured and previously published transfer coefficients, concentrations of BPA in paper, and absorption factors indicate the most conservative estimated intake from handling thermal paper in this population is 51.1 ng/kg/day, similar to EFSA's estimates of 59 ng/kg/day from dermal exposures. Less conservative estimates, using published data on concentrations in thermal paper and transfer rates to skin, indicate that exposures are likely significantly higher. Based on our observational data, we propose that the current models for estimating dermal BPA exposures are not consistent with normal human behavior and should be reevaluated."
1,6,2017,"Sharmini Sunasee, Kien Tiek Wong, Gooyong Lee, Saravanan Pichiah, Shaliza Ibrahim, Chulhwan Park, Nam Chan Kim, Yeomin Yoon, Min Jang",Titanium dioxide-based sonophotocatalytic mineralization of bisphenol A and its intermediates.,Environmental science and pollution research international,"In this study, bisphenol A (BPA) removal by sonophotocatalysis coupled with commercially available titanium dioxide (TiO2, P25) was assessed in batch tests using energy-based advanced oxidation combining ultrasound (US) and ultraviolet (UV). The kinetics of BPA removal were systematically evaluated by changing operational parameters, such as US frequency and power, mechanical stirring speed, and temperature, but also comparison of single and coupled systems under the optimum US conditions (35 kHz, 50 W, 300 rpm stirring speed, and 20 °C). The combination of US/UV/P25 exhibited the highest BPA removal rate (28.0 × 10(-3) min(-1)). In terms of the synergy index, the synergistic effect of sonophotocatalysis was found to be 2.2. This indicated that sonophotocatalysis has a considerably higher removal efficiency than sonocatalysis or photocatalysis. The removal of BPA was further investigated to identify BPA byproducts and intermediates using high-performance liquid chromatography-mass spectrometry. Five main intermediates were formed during sonophotocatalytic degradation, and complete removal of BPA and its intermediates was obtained after 3 h of operation. The degradation pathway of BPA by sonophotocatalysis was also elucidated."
5,6,2017,"Huajun Zheng, Xiaoyu Zhou, De-Kun Li, Fen Yang, Hongjie Pan, Tianqi Li, Maohua Miao, Runsheng Li, Wei Yuan",Genome-wide alteration in DNA hydroxymethylation in the sperm from bisphenol A-exposed men.,PloS one,"Environmental BPA exposure has been shown to impact human sperm concentration and motility, as well as rodent spermatogenesis. However, it is unclear whether BPA exposure is associated with alteration in DNA hydroxymethylation, a marker for epigenetic modification, in human sperm. A genome-wide DNA hydroxymethylation study was performed using sperm samples of men who were occupationally exposed to BPA. Compared with controls who had no occupational BPA exposure, the total levels of 5-hydroxymethylcytosine (5hmc) increased significantly (19.37% increase) in BPA-exposed men, with 72.69% of genome regions harboring 5hmc. A total of 9,610 differential 5hmc regions (DhMRs) were revealed in BPA-exposed men relative to controls, which were mainly located in intergenic and intron regions. These DhMRs were composed of 8,670 hyper-hMRs and 940 hypo-hMRs, affecting 2,008 genes and the repetitive elements. The hyper-hMRs affected genes were enriched in pathways associated with nervous system, development, cardiovascular diseases and signal transduction. Additionally, enrichment of 5hmc was observed in the promoters of eight maternally expressed imprinted genes in BPA-exposed sperm. Some of the BPA-affected genes, for example, MLH1, CHD2, SPATA12 and SPATA20 might participate in the response to DNA damage in germ cells caused by BPA. Our analysis showed that enrichment of 5hmc both in promoters and gene bodies is higher in the genes whose expression has been detected in human sperm than those whose expression is absent. Importantly, we observed that BPA exposure affected the 5hmc level in 11.4% of these genes expressed in sperm, and in 6.85% of the sperm genome. Finally, we also observed that BPA exposure tends to change the 5hmc enrichment in the genes which was previously reported to be distributed with the trimethylated Histone 3 (H3K27me3, H3K4me2 or H3K4me3) in sperm. Thus, these results suggest that BPA exposure likely interferes with gene expression via affecting DNA hydroxymethylation in a way partially dependent on trimethylation of H3 in human spermatogenesis. Our current study reveals a new mechanism by which BPA exposure reduces human sperm quality."
7,6,2017,"C M Zheng, X Z Liu, Q L Li, J F Wang, Z Tan, M H Ge",[The bisphenol A-enhanced activity of thyroid carcinoma cell line B-CPAP is inhibited by Icarrin].,Zhonghua er bi yan hou tou jing wai ke za zhi = Chinese journal of otorhinolaryngology head and neck surgery,"Objective: To investigate the effect of icariin (ICA) on the bisphenol A (BPA)-enhanced proliferation function of thyroid carcinoma cell B-CPAP and underlying mechanism. Methods: The proliferation of Gastric B-CPAP cell line was evaluated by cell counting kit-8 (CCK-8). Apoptosis and ROS expression in B-CPAP cells were detected by flow cytometry. The expression of superoxide dismutase (SOD) and malondialdehyde (MDA) in B-CPAP cells were measured by individual assay kits. The expressions of Bcl-2 and γ-HA2X were detected by Western blot. SPSS 18.0 software was used to analyze the data. Results: B-CPAP cell activity was promoted by treatment with 3×10(-7)mol/L BPA for 48 h, with significant difference in absorbance between BPA and control groups (1.089±0.053 vs 0.935±0.010, P<0.05). The cell activities of BPA+ ICA(25), BPA+ ICA(50), BPA+ ICA(100) and BPA+ ICA(200) groups was 0.780±0.036, 1.007±0.050, 0.958±0.033 and 0.625±0.064, respectively (all P<0.01). The proliferation of B-CPAP cells treated with BPA for 72 hours showed a similar trend to 48 hours. There was no significant difference between all treatment groups in 24 hours. The apoptosis rate was (19.272±0.186)% in BPA-treated cells, and was (22.412±0.238)% in control cells (P<0.05). The apoptosis rates of BPA+ ICA(50) and BPA+ ICA(200) groups were (23.688±0.412)% and (30.270±0.696)%, respectively (P<0.01). The intracellular accumulation of ROS in BPA, BPA+ ICA(50), and BPA+ ICA(200) groups were 806±21, 1 772±37, 2 041±16, respectively (P<0.01). The expressions of anti-apoptotic protein Bcl-2 in control, BPA, BPA+ ICA(50), BPA+ ICA(200) groups were 7 120±151, 9 801±286, 5 902±171 and 4 203±216, respectively (P<0.01). Conclusion: BPA can promote the proliferation of thyroid carcinoma B-CPAP cells and decrease the apoptosis of cells, and this effect can be inhibited by ICA. The possible mechanism is to induce high expression of intracellular ROS and inhibit the expression of antioxidase system, leading to cell oxidative damage, thereby inducing apoptosis."
7,6,2017,"Robin Mesnage, Alexia Phedonos, Matthew Arno, Sucharitha Balu, J Christopher Corton, Michael N Antoniou",Transcriptome profiling reveals bisphenol A alternatives activate estrogen receptor alpha in human breast cancer cells.,Toxicological sciences : an official journal of the Society of Toxicology,"Plasticizers with estrogenic activity, such as bisphenol A (BPA), have potential adverse health effects in humans. Due to mounting evidence of these health effects, BPA is being phased out and replaced by other bisphenol variants in ""BPA-free"" products. We have compared estrogenic activity of BPA to 6 bisphenol analogues (bisphenol S, BPS; bisphenol F, BPF; bisphenol AP, BPAP; bisphenol AF, BPAF; bisphenol Z, BPZ; bisphenol B, BPB) in three human breast cancer cell lines. Estrogenicity was assessed (10-11M to 10-4M) by cell growth in an estrogen receptor (ER)-mediated cell proliferation assay, and by the induction of estrogen response element-mediated transcription in a luciferase assay. BPAF was the most potent bisphenol, followed by BPB > BPZ ∼ BPA > BPF ∼ BPAP > BPS. The addition of ICI 182,780 antagonized the activation of ERs. Data mining of ToxCast high-throughput screening assays confirms our results but also shows divergence in the sensitivities of the assays. Gene expression profiles were determined in MCF-7 cells by microarray analysis. The comparison of transcriptome profile alterations resulting from BPA alternatives with an ERα gene expression biomarker further indicates that all BPA alternatives act as ERα agonists in MCF-7 cells. These results were confirmed by Illumina-based RNA sequencing. In conclusion, BPA alternatives are not necessarily less estrogenic than BPA in human breast cancer cells. BPAF, BPB, and BPZ were more estrogenic than BPA. These findings point to the importance of better understanding the risk of adverse effects from exposure to BPA alternatives, including hormone-dependent breast cancer."
9,6,2017,"Karen M Olsson, Christoph B Wiedenroth, Jan-Christopher Kamp, Andreas Breithecker, Jan Fuge, Gabriele A Krombach, Moritz Haas, Christian Hamm, Thorsten Kramm, Stefan Guth, Hossein Ardeschir Ghofrani, Jan B Hinrichs, Serghei Cebotari, Katrin Meyer, Marius M Hoeper, Eckhard Mayer, Christoph Liebetrau, Bernhard C Meyer",Balloon pulmonary angioplasty for inoperable patients with chronic thromboembolic pulmonary hypertension: the initial German experience.,The European respiratory journal,"Balloon pulmonary angioplasty (BPA) is an emerging treatment for patients with inoperable chronic thromboembolic pulmonary hypertension (CTEPH).We report on a prospective series of 56 consecutive patients who underwent 266 BPA interventions (median, five per patient) at two German institutions. All patients underwent a comprehensive diagnostic work-up including right heart catheterisation at baseline and 24 weeks after their last intervention.BPA resulted in improvements in WHO functional class, 6 min walk distance (mean change, +33 m), right ventricular function and haemodynamics, including a decline in mean pulmonary artery pressure by 18% and in pulmonary vascular resistance by 26%. Procedure-related adverse events occurred in 9.4% of the interventions. The most common complications were related to pulmonary vascular injury and consecutive pulmonary bleeding. Most of these events were asymptomatic and self-limiting, but one patient died from pulmonary bleeding, resulting in a mortality rate of 1.8%.BPA resulted in haemodynamic and clinical improvements but was also associated with a considerable number of complications, including one fatal pulmonary bleeding. As the effects of BPA on survival are unknown, randomised controlled outcome trials comparing BPA with approved medical therapies in patients with inoperable CTEPH are required to allow for appropriate risk-benefit assessments."
13,6,2017,"Agnieszka Tomza-Marciniak, Paulina Stępkowska, Jarosław Kuba, Bogumiła Pilarczyk","Effect of bisphenol A on reproductive processes: A review of in vitro, in vivo and epidemiological studies.",Journal of applied toxicology : JAT,"As bisphenol A (BPA) is characterized by a pronounced influence on human hormonal regulation, particular attention has been aimed at understanding its role in reproductive processes in males and females, as well as on fetal development. Owing to the increasing number of alarming reports on the negative consequences of the presence of BPA in human surroundings, more and more studies are being undertaken to clarify the negative effects of BPA on human reproductive processes. The aim of this work was to collect and summarize data on the influence of BPA exposure on reproductive health. Based on an analysis of selected publications it was stated that there is strong proof confirming that BPA is an ovarian, uterine and prostate toxicant at a level below the lowest observed adverse effect level (50 mg kg(-1) bodyweight) as well as a level below the proposed safe level (4 μg kg(-1) bodyweight). It seems there is also reliable evidence in relation to the negative effect of BPA on sperm quality and motility. Limited evidence also pertains to the case of the potential of BPA to affect polycystic ovary syndrome occurrence. Although in epidemiological studies this disease was common, in studies on animal models such results were still not confirmed. No unambiguous results of epidemiological studies and with animal models were obtained in relation to the evaluation of associations between BPA and implantation failure in women, evaluation of associations between BPA and sexual dysfunction in men, and impact of BPA on birth rate, birth weight and length of gestation. Copyright © 2017 John Wiley & Sons, Ltd."
14,6,2017,"Huiming Cao, Fengbang Wang, Yong Liang, Hailin Wang, Aiqian Zhang, Maoyong Song",Experimental and computational insights on the recognition mechanism between the estrogen receptor α with bisphenol compounds.,Archives of toxicology,"Certain bisphenols (BPs) have been regarded as endocrine-disrupting chemicals due to their structural similarities to bisphenol A (BPA), a well-known weak estrogenic chemical. However, very limited data are currently available on the relationship between estrogenic activity and the structure of BP analogs. Therefore, we systematically investigated the estrogenic potency of 14 selected BP analogs with typical structures using experimental and computational methods. Most of the tested BP analogs exhibited weak estrogenic activities in both cell proliferation and MVLN assays with the exception of TBBPA, TCBPA and TBBPS. Molecular modeling techniques have been performed to investigate the dynamic structural characteristics of recognition processes between BPs and estrogen receptor α (ERα) at the atomic level. Thr347 was identified as the key residue responsible for the recognition of TBBPA, TCBPA and TBBPS by means of induced-fit H-bonding interactions in the binding pocket of ERα, whereas other BPs, in turn, rely on the alternative formation of H-bonds with His524. Subsequent allosteric modulation interferes significantly with the stability of helix 12 that is crucial for the transcriptional activity of ERα. These structural perturbations that are induced by the three compounds were further confirmed to reduce the recruitment potency of co-activators more than other BPs based on calculations of binding free energies, which is in line with observed experimental transcriptional activities. Our findings may help to elucidate the estrogenic potency of BPs with different molecular structures."
16,6,2017,"Joseph M Braun, Gina Muckle, Tye Arbuckle, Maryse F Bouchard, William D Fraser, Emmanuel Ouellet, Jean R Séguin, Youssef Oulhote, Glenys M Webster, Bruce P Lanphear",Associations of Prenatal Urinary Bisphenol A Concentrations with Child Behaviors and Cognitive Abilities.,Environmental health perspectives,"Prenatal bisphenol A (BPA) exposure has been associated with adverse neurodevelopment in epidemiological studies. However, prior studies had limited statistical power to examine sex-specific effects, and few examined child cognition."
16,6,2017,Bahman Banihashemi,General Fate Model for Microconstituents in an Activated Sludge System.,Water environment research : a research publication of the Water Environment Federation,"Nine lab-scale continuous flow porous-pot bioreactors operating at various solids retention times and hydraulic retention times were conducted to simulate activated sludge (AS) systems and to evaluate the biodegradation kinetic models for the fate of 17α-ethinylestradiol (EE2), bisphenol-A (BPA), and triclosan (TCS) at the µg/L range. Mathematical models were applied to describe the degradation mechanism of selected microconstituents (MCs) and pseudo second-order model were found to best fit the results when active MCs degraders (XC) were used (r2= 0.99). The result of XC estimation showed that SRT plays an important role in formation of the biomass capable of degrading selected MCs. It is also observed that the MCs degraders are naturally present in the AS system even at low SRTs; however, the concentration of XC is dependent on SRT. It is found that biodegradation studies should incorporate XC and not mixed liquor suspended solids concentration (MLSS) in their kinetic formulations."
